user_id,product_id,rating
U100001,P49776,4.5
U100001,P93848,4.5
U100003,P61052,3.0
U100003,P69752,4.2
U100003,P88198,4.2
U100004,P43232,4.4
U100005,P88046,3.8
U100009,P73309,3.2
U100010,P74310,3.3
U100012,P64193,4.4
U100012,P78511,4.7
U100012,P93432,3.9
U100016,P95664,4.1
U100017,P41751,4.0
U100018,P61655,4.0
U100020,P11381,4.2
U100020,P50690,4.0
U100021,P39636,4.6
U100021,P54205,4.1
U100021,P78648,3.5
U100021,P86964,4.5
U100022,P47470,4.1
U100023,P18624,4.6
U100023,P26485,3.8
U100023,P45229,4.4
U100028,P61170,4.1
U100028,P77162,3.2
U100029,P44900,4.1
U100030,P42064,3.4
U100033,P62248,4.1
U100033,P70886,3.5
U100033,P74926,4.0
U100034,P35925,4.2
U100034,P82476,4.4
U100035,P22216,3.9
U100040,P66435,3.6
U100042,P11336,3.9
U100042,P50904,4.3
U100043,P72131,3.6
U100043,P78990,4.7
U100044,P16585,3.9
U100044,P26549,4.0
U100045,P23997,4.1
U100046,P42383,4.2
U100047,P37966,3.8
U100047,P52137,3.6
U100048,P10247,4.1
U100048,P91429,4.3
U100050,P37673,3.3
U100051,P18799,3.8
U100051,P47241,3.9
U100052,P50238,3.7
U100053,P10060,3.8
U100053,P60227,4.0
U100053,P94737,4.4
U100055,P20879,4.0
U100055,P34667,3.3
U100055,P74678,4.6
U100056,P72174,5.0
U100059,P43357,3.9
U100059,P51274,3.3
U100060,P23515,3.8
U100060,P31301,4.6
U100061,P17933,4.6
U100061,P73323,4.0
U100062,P40059,4.1
U100062,P60627,3.3
U100063,P46138,2.9
U100063,P73372,3.9
U100064,P22966,3.6
U100064,P36573,4.2
U100067,P30524,2.9
U100068,P64236,4.6
U100068,P91214,3.6
U100069,P76566,3.1
U100070,P82309,3.9
U100071,P33859,4.1
U100075,P72238,4.3
U100079,P15664,3.8
U100081,P77186,3.7
U100081,P97327,4.1
U100081,P97509,3.2
U100082,P44145,3.7
U100082,P73451,3.5
U100083,P71031,4.4
U100083,P80589,4.2
U100084,P47549,3.9
U100085,P32079,2.8
U100085,P42133,3.8
U100086,P83147,4.0
U100086,P85969,3.9
U100089,P45530,3.9
U100089,P69319,4.4
U100089,P86568,3.3
U100090,P20990,3.9
U100092,P12364,4.2
U100092,P31237,3.8
U100096,P45010,4.5
U100098,P15910,4.2
U100098,P26375,5.0
U100099,P45690,4.3
U100099,P97962,4.2
U100100,P43149,4.4
U100103,P24870,4.4
U100104,P21069,2.9
U100105,P81806,3.6
U100105,P85817,2.9
U100106,P46509,4.6
U100106,P52496,4.8
U100106,P89290,4.4
U100107,P31689,4.2
U100108,P25152,4.7
U100111,P13517,3.8
U100111,P23808,4.1
U100111,P42552,3.8
U100111,P67810,4.4
U100112,P97902,3.5
U100113,P20521,4.6
U100116,P10380,3.7
U100116,P44336,4.6
U100116,P71799,4.4
U100116,P87342,4.5
U100117,P47672,3.7
U100117,P51511,4.2
U100118,P96709,4.2
U100119,P14970,3.2
U100121,P58013,4.2
U100123,P52096,3.7
U100124,P33234,3.3
U100124,P66556,4.2
U100124,P71286,3.7
U100126,P42256,3.9
U100127,P38098,3.6
U100128,P44321,3.2
U100130,P37386,3.9
U100130,P64915,3.1
U100130,P99412,4.4
U100132,P51571,3.4
U100132,P90061,3.8
U100134,P36541,4.1
U100135,P19935,4.7
U100135,P68078,3.6
U100137,P94732,4.1
U100138,P91565,4.1
U100139,P89412,3.5
U100139,P92172,4.0
U100140,P27172,3.3
U100140,P39379,3.4
